0.969	1.522579310455917e-16	4.2125109631209473e-17
0.9957096774193548	7.000487263734839e-17	1.5503662657659355e-17
1.0224193548387097	4.557470336915137e-17	5.4354902029323636e-18
1.0491290322580644	2.4345718314348975e-17	4.951687770341693e-18
1.0758387096774193	2.3630917239963894e-17	2.5462096024597107e-18
1.1025483870967743	1.9792944574731388e-17	3.5540462163577516e-18
1.129258064516129	1.3949244403680346e-17	2.8287192766566323e-18
1.155967741935484	3.6688642977677826e-18	9.37229360618819e-19
1.1826774193548386	5.804241104543854e-18	2.6156346299457893e-18
1.2093870967741935	1.3321870229208154e-18	1.1020444958735486e-18
1.2360967741935485	1.2671479920763145e-17	3.069457304923915e-18
1.2628064516129032	1.9456221687228214e-17	2.8109477103380505e-18
1.289516129032258	2.3123057999628716e-17	2.267119767726906e-18
1.3162258064516128	2.1160287050387173e-17	1.1057835516448124e-18
1.3429354838709677	5.73221404923929e-18	1.2133034979699215e-18
1.3696451612903227	8.296512523919466e-18	2.8568904998454004e-18
1.3963548387096774	8.63036468260778e-18	5.550821953528548e-18
1.4230645161290323	8.93213805779572e-18	3.87691841090497e-18
1.449774193548387	5.525207281036383e-18	1.4836024882349414e-18
1.476483870967742	7.25135843164961e-18	1.622099179971254e-18
1.5031935483870968	9.558506948310643e-18	2.2905206939215123e-18
1.5299032258064515	1.42279000025214e-17	2.1439981751692785e-18
1.5566129032258065	1.5151689674116008e-17	8.151851014625735e-19
1.5833225806451612	1.6288546942377413e-17	7.916768774499664e-19
1.610032258064516	1.1872913284901492e-17	1.2855203975084545e-18
1.636741935483871	6.6738620920215995e-18	1.5862700087030155e-18
1.6634516129032257	4.462837877482443e-18	7.337343337893367e-19
1.6901612903225807	4.728367726438366e-18	6.286815587688889e-19
1.7168709677419356	5.2430659391294964e-18	8.318828484313158e-19
1.7435806451612903	6.2382028688905585e-18	1.3009338602636262e-18
1.7702903225806452	8.712295118085113e-18	3.6116646242995396e-18
1.797	-0.000057712262557454266	0.0000407802089669882
